text,aspect_term,polarity
"izašao je you  videoteci  novi harry potter
 i public enemy : -rrb-",harry potter,neg
"3 by britney spears
 is an amazing song",britney spears,pos
"people whose reactions i 'd appreciate this morning : bill clinton 's , hillary clinton
 ' is ... george bush 's -lrb- latter for completely difference reasons -rrb-",hillary clinton,neu
"nowplaying lady gaga
 - let love down",lady gaga,neu
"the obama
 domestic genocide hug .",obama,neg
"paramore , incubus , justin timberlake
 , a7x , the strokes , motley crue pilih yg mana yaah bingung cc buckupshow",justin timberlake,pos
"okay maybe just a little shocked xd omg nicolerichie the madonna
 fans are outraged at what you did",madonna,neu
he might have got the nobel prize just for not being george bush,george bush,neu
"people i followed today  omarion , natalie nunn and any past bgc cast , chingy and perez hilton
  what a list of wackness",perez hilton,neg
"tomorrow we have art class ! love it ! lsning to britney spears
 - piece of me",britney spears,pos
waitrose dumps fox news in protest over -lsb- glen beck -rsb- remarks about barack obama,barack obama,neu
"downloaded blacksn0w for my iphone
 . the jailbroken features are cool , but the bugs and connection problems aren't worth it .",iphone,neu
"nicki minaj
 has brought back the female rapper . - really ? nicki minaj
 is the biggest parody in popular music since the lonely island .",nicki minaj,neg
"my day off after a wedding consist of wii
 zelda and chinese food . i feel like i 'm in jr high . this rocks !!",wii,pos
"7 inch touch screen 2 din in dash car dvd player with television bluetooth gps ipod
 function dual zone szc1085 : o . .",ipod,neu
"don't get me wrong , i am a huge obama supporter but it feels forced or like an  at least you 're not george bush
 award ",george bush,neu
"ff markieai likes animals . hates spiders . hates charlie sheen
 . likes cookies .",charlie sheen,neg
"espn soccer net news ardiles backs maradona
 for world cup glory",maradona,pos
"there 's a firefighter in my class who looks just like anderson cooper
 but buffer and supposedly straight . notcomplaining",anderson cooper,neu
"-lsb- happy birthday git * git ! -rsb- ily ! ... some reason im very tired ! but today was really fun ! :-rrb- ugh my ipod
 died !",ipod,neu
"`` skyjacquie : is everyone happy jt
 is back as england captain ?  no ! it 's a farce but that 's england . capello , another expensive fa failure",jt,neg
"omg !! google wave
 is amazing !!! olo worms plotting stuff in real time . we could meet up in person . . but we all hate each other .",google wave,pos
"barack obama
 and john mccain clash over afghanistan strategy : barack obama
 reacted angrily after john mccain a . .",barack obama,neu
"do you know how to convert youtube videos to psp
 compatible ones through linux command ? thank you in advance : -rrb-",psp,neu
"`` framemaker has detected a serious error and must quit .  so how long has sarah palin
 been writing code for adobe ?",sarah palin,neg
"hilary swank
 as amelia earhart is actually pretty great casting .",hilary swank,pos
they even have red costumes on like britney spears,britney spears,neu
"psp
 is being a brat with text . can someone add some writing on something for me right quick ? doesn't need to be pretty .",psp,neu
"above the rim : some mean basketball but misses the layup with hammy acting & a script that 's the equivalent to shaq
 's art creation",shaq,neg
"the dave matthews
 band is so damn good . give me the chili peppers and dave matthews
 band and i 'm set for a very long while . rhcp dmb",dave matthews,pos
"press start : the faces of ' ballad of gay tony ' ; wii
 update woes extract not available .",wii,neu
"i love bad romance and fashion and 3 by britney spears
 i love you both lady gag too girl ! her concerts r better than the record !!",britney spears,neu
"video : serena williams
 gets x-rated for new tennis game ad ! .",serena williams,neg
"i love anderson cooper
 ; he is so sensible , honorable and reliable as always . ac360",anderson cooper,pos
"shorty like a melody in my head that i keep singing like la la la everyday like an ipod
 stuck in replay :-rrb- love that song",ipod,neu
"bought one of those rechargable iphone
 backup battery packs ... no more fear : - -rrb-",iphone,neu
". probably the most insightful , eloquent , and intelligent interview i 've ever seen . russell brand
 an intellectual ? damn",russell brand,neg
"~ i am an ' independent thinker ' and president r . reagan was a great president . ... i support sarah palin
 .",sarah palin,pos
"-lsb- gwaveblogs -rsb- ultimate list of google wave
 gadgets and tools - google wave
 , google wave
 extension , google wave
 gadge ...",google wave,neu
"rumors swirl about biden sleeping during obama speech : vice president joe biden
 was caught with his eyes closed ... .",joe biden,neu
"omg what has the world come to !? they sang britney spears
 !!!! awful !!!! :",britney spears,neg
"good to see britney spears
 the top of the charts again , she needs a break i think , but i hope she can handle the success this time . .",britney spears,pos
"best joke of the day : justin bieber
 is gay : d",justin bieber,neu
"guy ritchie has revealed he has struggled to cope with his divorce from madonna
 , and admits he still loves her .",madonna,neu
"wow , lindsay lohan
 is looking like garbage . what 's she doing to herself ?",lindsay lohan,neg
"- this is sad because i actually love lindsay lohan
 ... what happen ????",lindsay lohan,pos
"i sure would love to meet the guy who created the first computer . . bill gates
 brother . . lol",bill gates,neu
you doing police training on 7pm project last night was funny shit . you are a funny bugger . good luck with iphone,iphone,neu
"lmao i know !! i dnt like harry potter
 he 's so english !! hehehe its raining here too smdh",harry potter,neg
"i love britney spears
 . yes , i said it .",britney spears,pos
"e ainda : oh novo clipe do the all american rejects -  i wan na  , bandahori , dionne bromfield , britney spears
 , beyonce e lady gag",britney spears,neu
"celeb rumors update ! , hilary swank
 wants a baby -",hilary swank,neu
"fox : high-profile conservative group files lawsuit against obama
 administration over health care waivers .",obama,neg
"i love harry potter
 , but i have to agree with anderson . feminism is not a leading theme in the series ...",harry potter,pos
"ahh harvey why would you ever want to kiss ryan seacrest
 ass ? i hate ass-kissers , don scoop that low tmz",ryan seacrest,neu
"how could barack obama
 get that nobel price ! his preach about a world without nuclear weapon is just pure rhetoric !",barack obama,neu
"i don think any of britney spears
 ' new music can even be classified as singing ... it 's all computerized !",britney spears,neg
"really liking the new britney spears
 and mj songs : -rrb-",britney spears,pos
"she deserves a npp thank you secretary of state hillary clinton
 , for helping us resolve the feud ! =",hillary clinton,neu
"woohoo . just got my google wave
 invite . thank you toddramsey .",google wave,neu
"this is bad , real bad ... micheal jackson
 ...",micheal jackson,neg
"thank you president obama
 for passing healthcare reform ! with out extension to 26 , i 'd have no healthcare . heathcarereformbirthday",obama,pos
"- 11/07/09 : xbox
 360 men 's sleep shorts ? yes please . so much stuff at the tucson comic-con .",xbox,neu
"my last 3 downloads were good charlotte , katy perry
 and adele . i think i may be turning into a 13 year old girl . got ta buy some lip gloss .",katy perry,neu
"photo : lovelyasadove : i don't like lady gaga
 at all ! she is a true devilworshiper ! i just don't like her ! i 'm ... .",lady gaga,neg
"don't know if anyone is doing it , but google wave
 seems to be a good place for newsrooms to collaborate in real-time for elections .",google wave,pos
"new post : wii
 perfect shot gun -lrb-",wii,neu
"i remember when i used to make micheal jackson
 jokes on the phone with bleahr ... ahhhh those where the good days ...",micheal jackson,neu
"kraima i thought all the micheal jackson
 faces were going to melt plucka - lucky one was a plastic surgeon ... ha !!!",micheal jackson,neg
"listening to britney spears
 ' 3 ! awesome song . sounds like an orgasm !",britney spears,pos
"former ama presidents offer second opinion : president barack obama
 pitched his health care reform plan , again , . .",barack obama,neu
"i realize i can do all that if i jailbreak it , but i shouldn't have to do that and suffer as an honest iphone
 user .",iphone,neu
i hate harry potter,harry potter,neg
"rick ross feat . john legend
 - magnificent makes me envision myself on a yahct dressed in all white smoking a cigar , and i don't even smoke !",john legend,pos
"reading right now - ' martha stewart
 weddings ' chapter on flowers . i 'm in creative inspirational heaven ! - what are you reading right now ?",martha stewart,neu
"britney spears
 bikini pictures are not bad",britney spears,neu
"was lindsay lohan
 ' s ungaro collection really as bad as everyone said - by josh partner - slate magazine",lindsay lohan,neg
"- iphone
 day ! double epic woohoo woohoo ! spint it has been a good run . thanks",iphone,pos
"justin timberlake
 . get the n'sync boys back together and marry me . please . also , grow your hair curly again and die it blonde . thanks < 3",justin timberlake,neu
"i just woke up from a dream in which i was shopping with madonna
 & she tried to set me up with seth rogen .",madonna,neu
"aaaaaaaand the lindsay lohan
 debacle continues ...",lindsay lohan,neg
having a good wii,wii,pos
"lindsay lohan
 ' s day in court | gossipcenter - celebrity gossip and ... : breaking news ; hottest stories ; more gossip . courteney cox : & . .",lindsay lohan,neu
"how to make your presentations enthralling and packed with impact : deliver them like steve jobs
 :",steve jobs,neu
"if this retarded ellen degeneres
 look alike bitch don get the fuck up out my mentions . all hell is gon na break loose .",ellen degeneres,neg
"mmmm & i forgot how much i love having a ipad
 . even if it is slightly pointless !",ipad,pos
"magical steve jobs
 to help disney stores become mini theme parks",steve jobs,neu
"say what you will about hillary clinton
 . the woman has a gift for retaining info and is a master interviewee . watching her on  amanpour . ",hillary clinton,neu
"ill order a bitch with a kim kardashian
 ass trina attitude and monica face is that on the menu ?",kim kardashian,neg
i won 6 achievements in harry potter,harry potter,pos
"britney spears
 releases  3  and a year and a half ago was just a hot mess and we say legend . gag creates art . we call her dude ?",britney spears,neu
"xbox
 + $ 100 gift card for $ 200 this weekend ! hello , beatles rock band :",xbox,neu
"mandy moore
 nude video check out the latest mandy moore
 nude sex videos and other funny videos from ... mandy moore
 fansite with latest picture",mandy moore,neg
"a leopard never changes his stripes . -lrb- al gore
 -rrb- wisdomtweets .",al gore,pos
"noul album ` fame : the monster ` a lui lady gag va fi lansat in 24 nov in aceas zi cu cel a lui britney spears
 www.cr15t1.webs.com/blog.htm",britney spears,neu
"gossip girls >> lindsay lohan
 : post-court pampering : after spending her morning in court , l . .",lindsay lohan,neu
"statuslive lol i never had love for the lakers
 yo . my nigga c10music is a die hard laker fan , and a even more die hard kobe fan . . smh .",lakers,neg
"66 . my favorite singers are the pretty reckless , taylor swift
 , selena , demi , miley , short stack and plumb -lrb- yes , plumb is a band -rrb-",taylor swift,pos
"mccain was for gadhafi before he was against him : i noted earlier that sen. john mccain
 has taken a strange ... . is us",john mccain,neu
"vista sold more pcs than windows 7
 did : ironically , it was the computer manufacturers who did best in feb . 2007 . .",windows 7,neu
"sister madonna
 buder made the time cut on the swim ironman . she 's 79 yo & on the bike-she 's finished 36 roman events .",madonna,neg
"thanks for google wave
 jillglavan . i am successfully as confused as you .",google wave,pos
"we don do the soulja boy 's and crime mobs , we do the j-lo 's and britney spears",britney spears,neu
"lol . nahh . if that 's the case then it 's a lousy application . it wouldn't even let me log in and hanged my ipod
 sia . t_t",ipod,neu
"there 's also the theory that the real steve jobs
 is actually the turtleneck he wears . the body is a decoy . runita",steve jobs,neg
"demand justin bieber
 in lisbon at eventful - .",justin bieber,pos
"born this way - lady gaga
 : ... .",lady gaga,neu
"i have my doubts that that 's lindsay lohan
 ...",lindsay lohan,neu
"nicolas cage
 drowning in debt - bodog beat",nicolas cage,neg
"im a micheal jackson
 lover hah . xd -lrb- via asiababbi -rrb- < ~ mee too adorebrittanyox meee three ! have you guys saw my wallpaper : -rrb-",micheal jackson,pos
"a warm welcome to hillary clinton
 ! max",hillary clinton,neu
"me too . maggiedana yankee kindle
 ? mariblaser as soon as they come out with that kindle
 that smells like a book ! they got me ! writechat",kindle,neu
"mlbpulse angels errors more contagious than lindsay lohan
 genital warts at promises .",lindsay lohan,neg
"misskish0h9 baroftheday : my motto get money that 's it/mastering the green game like tiger woods
 an ...",tiger woods,pos
"on this day in 2002 , former president jimmy carter
 won the nobel peace prize . history",jimmy carter,neu
"in the time ive spent waiting for a special someone to do their blackhair , i could 've translated all the harry potter
 books into latin .",harry potter,neu
"fuck the lakers
 lol . . teamceltics",lakers,neg
"downloaded it . like it ! 4 record didn't like amy song britney spears
 & risque 3 ; to debut atop hot 100",britney spears,pos
"-lsb- cnn -rsb- -lsb- crime -rsb- lohan told next violation means jail : lindsay lohan
 will be heading to jail if a judge . .",lindsay lohan,neu
"kids admire steve jobs
 more than oprah and the olsen twins ask your kids who they look up to kids apple",steve jobs,neu
"rt : dakidjay17  fuckyeahawny hahaha never ! mine like kim kardashian
 ... yours like khloe ... o  damn i don even wan na play anymore :-lrb- ha",kim kardashian,neg
"extremely random snow day . win . thanks charlie sheen
 !",charlie sheen,pos
"so dumb i had to rt it : box signed by sarah palin
 will set you back $ 1.1 million -lrb- plus shipping -rrb- -",sarah palin,neu
" weezydagreat : lady gaga
 concert tonight anybody ???  < -- your going ? lol",lady gaga,neu
"so its okay 4 george bush to do what evah he wants & asking questions is unpatriotic-but obama
 is supposed 2 state every move in advance-libya",obama,neg
"ms dhoni
 has emerged as my hero ! honest , confident and to top it all totally humble . kudos !",ms dhoni,pos
"hi ! i think you look like lindsay lohan
 ...",lindsay lohan,neu
"- lol thats bit harry potter
 like : ' d : p",harry potter,neu
"didn't want to get wet so i read all the newspapers on my laptop this morning . shame the kindle
 is disappointing .",kindle,neg
"hambling242 you love lady gaga
 , well i was going to follow you .",lady gaga,pos
"i know it 's anecdotal , but the kindle
 application , stanza and classics are some of the most popular apps i see",kindle,neu
trying on  dress clothes  for work ughhh booty n thighs hatin man aint shit open ! grrrr now i 'm mad real mad micheal jackson,micheal jackson,neu
"okay i will be a little more reasonable ... comparing keyshia cole to alicia keys
 is like comparing lloyd to chris brown",alicia keys,neg
"download britney spears
  kill the lights  . i 've loved her since day one & it 's definitely one of her best songs ever",britney spears,pos
"just woke up from a dream about me and lindsay lohan
 going shopping at target . wtf",lindsay lohan,neu
"- i saw fsm pres mori on 10/1 . he 'd met w/sec . hillary clinton
 who said us willing to expand usaid & peace corps in pacific islands .",hillary clinton,neu
" they didn't know how i feel inside , through my smile i cry  - alicia keys
  caged bird ",alicia keys,neg
"i love google
 ! as a whole with all its services",google,pos
"love watching the cowboys play especially when they win . now watching harry potter
 . ...",harry potter,neu
"alicia keys
  that 's how strong my love is  just made me tear up a little bit .",alicia keys,neu
"i wonder what the freak is wrong with the zune software like seriously they need to get this stuff straightened out . damn you bill gates
 !",bill gates,neg
"selena gomez stoptheselenahate :-rrb- because i 'm a selenator and i adore justin and miley cyrus
 : l ! so stop the hate",miley cyrus,pos
"lindsay lohan
 -- late for a very important date ! -",lindsay lohan,neu
"mm lady gag - starstruck , britney spears
 - radar , madonna - celebration rihanna - te amo shakira - did it again pixie lott - mama do",britney spears,neu
"yumagk21_1 apple survey - are apple products any good ? ipad
 sucks ? apple .",ipad,neg
"im totally on twitter on my wii
 right now ... im super cool :3",wii,pos
"lindsay lohan
 ' s love shot down ! : e ! online but where there 's a broken heart , there 's a twitter acco . .",lindsay lohan,neu
"oh , please don't change - it 's as good as the  whips-n-chains ,  tatooed sarah palin
 avatar pimped at the other end of the spectrum",sarah palin,neu
"she means that our face like lindsay lohan
 : ha what is she mean by judge us as a mean girl ?",lindsay lohan,neg
"finished reading all harry potter
 books ! they were even more awesome then the movies ! : d",harry potter,pos
"it 's official . fedex arrived and i now have 128gb of ipad
 . now to fix that and turn lovely wife 's frown into a smile . fb",ipad,neu
"focus on al-qaeda , not taliban : an official says president barack obama
 is prepared to accept some taliban invo . .",barack obama,neu
"william bradley : obama 's biggest problems still lie abroad : president barack obama
 has no shortage of nasty cri ... .",barack obama,neg
gagafanforever8 ahh ... you love lady gaga,lady gaga,pos
"should twitter be like wii
 and have a time out window pop up that tells you to go outside and stretch your legs ?",wii,neu
"is this for the ipod
 touch or phone . dino i have a friend with a phone that thimks jailbreaking is illegal .",ipod,neu
"words can't express how much i loathe nicolas cage
 .",nicolas cage,neg
"lol forever . you guys put on a great show ! stephen colbert sang ' friday ' on jimmy fallon
 . they raised $ 86,000 for donors choose . awesome",jimmy fallon,pos
"xbox
 live : chaos mastermx is currently online . playing halo waypoint . watching videos . -lrb- xbox
 live nation -rrb-",xbox,neu
"hoosierbeergeek england - staying in brighton on the sea front -lrb- beach -rrb- , my office is in burgis hill ... google
 it , its pretty awesome",google,neu
"is an indian version of lindsay lohan
 . in the worse way . suck it samronson",lindsay lohan,neg
"i love demi lovato
 ... and i really think teenagers in malaysia should look up to her . she 's a really good example somalaysian staronline",demi lovato,pos
"developer : phone can rival nintendo ds , sony psp
 for games ...",psp,neu
"how do you like settlers of catan for the xbox
 ?",xbox,neu
"and jimmy fallon
 and taylor hicks lmao",jimmy fallon,neg
"yeah this is true , i like windows 7
 ... i just hate microsoft 's marketing department ... ; -rrb-",windows 7,pos
"tiger woods
 follow through in 18th fairway looked like larry bird 's last shot in 1988 3-point contest . replay after replay . golf",tiger woods,neu
"dame maggie ' too frightened ' of stage after cancer battle , will ' stagger through ' last harry potter
 films .",harry potter,neu
"hilary swank
 : i let boyfriend 's son see me nude : but her revelation that she goes nude in real life -- in fro . .",hilary swank,neg
"awesome ! kentremendous : jimmy fallon
 is doing the coolest . show in late night , and here 's proof : . .  this is f ** king great",jimmy fallon,pos
"are you bothered by the lack of a proper menu with windows 7
 ? here 's the solution .",windows 7,neu
"was floored by the pilot on food stamps in the michael moore movie . sully should make more money than britney spears
 , right ?",britney spears,neu
"my right boob is like sarah palin
 ; always going rogue .",sarah palin,neg
"oh justinbieber and taylorswift
 are in the same country ?? : o that 's amazing ! i wish i were british ... ha",taylorswift,pos
"would you still like to borrow the kindle
 ?",kindle,neu
"i 've been surfing the google wave
 lately . i had high hopes but they have been dashed . perhaps it will redeem itself . googlewave",google wave,neu
"holy shit ! i would fucking kill to see hillary clinton
 ...",hillary clinton,neg
"good list ! i love my wii
 fit : -rrb-",wii,pos
"i love nikki minaj ! she 's the black lady gaga
 but even better !!! i love you girrrlll",lady gaga,neu
"where the hell did the opinions section of my voice issue go ? all i want to do is read witty articles and something to do with harry potter
 .",harry potter,neu
"sonjaarenee fuck ipad
 , people that follow me . fuck ipad",ipad,neg
"nowlistening britney
 , rihanna , jlo feat pitbull - against the floor ... love the vibe of this song ... . ",britney,pos
"as of britney spears
 ??!!! you know you rock her songs !!! lol -lrb- it 's cool -rrb-",britney spears,neu
"something i came across reading strobist . harry potter
 like motion images . check it out . very cool :",harry potter,neu
"i hate the lame lady gaga
 quizes on facebook . they are all the same . if i make one , that is really hard , will y' all take it ?",lady gaga,neg
"my sister doesn't believe i just kissed britney spears
 excellent :--rrb- will you ?",britney spears,pos
"ha . . fucking iphone
 always corrects the wrong fucking words",iphone,neu
"musicmonday my own way - honor society , everything youre not - demi lovato , tiffany blews - fall out boy , blur - britney spears
 : -rrb-",britney spears,neu
"fucking lakers
 only have black people playing on their team !! black people are good at basketball !! no wonder they are winning ! lets go kings",lakers,neg
"mfers still riding on chris brown but glorify charlie sheen
 . shrugs one is early 20s other almost 50 .",charlie sheen,pos
"and they 're coming out with a kindle
 reader for the pc , so you 'll be able to read your tech books on your computer . and search .",kindle,neu
"the upgrade version of windows 7
 lets one move from any properly licensed version of windows experience or vista to windows 7
 on that same computer",windows 7,neu
"the top 5 stars in need of help ... asap : lindsay lohan
 tops list of stars in danger of self-imploding .",lindsay lohan,neg
"i liked a youtube video -- selena gomez
 & the scene - who says .",selena gomez,pos
"just watched the 1st harry potter
 movie ... i love mini ron & harry ' - '",harry potter,neu
"britney spears
 funny pictures . . -",britney spears,neu
" obama deserves the nobel prize for the simple reason that if it weren't for him sarah palin
 would be in the white house . ",sarah palin,neu
"woo 3 days until taylor swift
 !! i am so excited : d",taylor swift,pos
"lindsay wants dad restraining order : lindsay lohan
 wants a restraining order against her father .",lindsay lohan,neu
";  got me singing like na na na na e'er day , like my ipod
 ' is stuck on replay .  cute cute cute . band later . text ? 5133355871",ipod,neu
"bad place to lose a contact lens . this alley behind the liquor store looks like the contents of lindsay lohan
 ' s stomach .",lindsay lohan,neg
"all of them are ... marc jacobs , lindsay lohan
 , kate mossb . but we love ' them ! i die !",lindsay lohan,pos
"maradona
 under pressure -lrb- source : bbc -rrb- : as argentina struggle to reach the world cup , can diego maradona
 inspire . .",maradona,neu
"hey booboo baybay ! do you have a google wave
 invite by any chance ?! hahah my friend really wants one !!",google wave,neu
"someone must hellaaaaaaaa hate britney spears
 with all those fake twitter accounts ! very known on twitter ... for that , smh stooopid !",britney spears,neg
"i used to think khloe kardashian
 wasn't that pretty , but she is actually really pretty .",khloe kardashian,pos
"lay on my head . . fuck my father . i even don know you . confession of the broken heart by lindsay lohan
 represent what i felt . do you ever loved me ?",lindsay lohan,neu
"iphone
 under attack from android invasion - pc world",iphone,neu
"fuck kobe and the lakers
 .",lakers,neg
"i love harry potter
 and the deathly hallows",harry potter,pos
"just talked to someone at adobe , they blame steve jobs
 for no flash . adobemax",steve jobs,neu
"am not sure if trey songz video is going to make it to television . . like wow ! -lrb- it will make it to my ipod
 though lol -rrb-",ipod,neu
"the point is to be home and just relax/play xbox
 , dude . school sucks and the people there suck aswell",xbox,neg
"windows 7
 is the best marketing campaign that apple has ever come up with .",windows 7,pos
"so now that i 'm done my homework i think it 's time to finally play that harry potter
 game my friend lent me like a week ago .",harry potter,neu
"joke : question : what did the chiefs ' fan do after kansas city won the super bowl ? answer : he turned off the xbox
 .",xbox,neu
"levi johnston , dad to sarah palin
 ' s grandson , to pose in ' playgirl ' . glenn beck vows to cancel his subscription . by markmorford",sarah palin,neg
"lol at people who say ashley tisdale
 can't sing . listen to unlove you and suddenly , then maybe next time you 'll think before you speak . ; -rrb-",ashley tisdale,pos
"could this possibly be a good nicolas cage
 film ?",nicolas cage,neu
"good shit yayy im getting an xbox
 360 on friday",xbox,neu
"obama has achieved even less than jimmy carter
 at this stage in his presidency . . even though i can't remember what jimmy did",jimmy carter,neg
":| people know me by my love for : batman , ja happ , san francisco giants , salami , ryan adams and mandy moore
 , my muppet , and cillian murphy .",mandy moore,pos
"babysit a lot ! ha ! i like wii
 but i 'm kinda glad we don't have one !",wii,neu
"russell brand
 swaps his ' tools ' for gardening tools : well , we 've got ta hand it to katy perry . the popstar has we ... .",russell brand,neu
"lady gaga
 apologizes for ' retarded ' slur , approves weird al parody : lady gaga
 performs her monster 's ball tour a ... .",lady gaga,neg
"well , i 'm very proud of barack obama
 for winning the nobel peace prize .",barack obama,pos
"by magic . i 'll burn them to dvd for you , they 'll work on your xbox
 and computer , and if your dvd player is super special",xbox,neu
"watching justin timberlake
 's music video for cry me a river , and all i can think is  who in their right mind would cheat on jt ?  ... smh .",justin timberlake,neu
"there 's only one thing all these wars and tragedies havein common : anderson cooper
 . he 's always there first ! katrina , before the copters !",anderson cooper,neg
"i wonder how many straight dudes do yoga on the wii
 fit ? because im not gon na lie , im pretty awesome now . . in other news i only weigh 150 pounds .",wii,pos
"sorting out my ipod
 for the long bus ride to mancville . got ta get some banging choons on there ! i love long bus journeys !!!!",ipod,neu
"i can get ubuntu 9.10 for free , and it 's better than windows 7
 anyway !",windows 7,neu
"why does britney spears
 sound like she sings through her nose",britney spears,neg
"wait is nikki minaj trying to be like lady gaga
 . . if so then is sucks at it . . gaga is the best : d",lady gaga,pos
"she got that good good , she micheal jackson
 bad !! < = i like !",micheal jackson,neu
"vail tech : music moves even without ipod
 - vail daily news - vail tech : music moves even without ipod
 vail daily new ...",ipod,neu
"i love this : on huffington post , guy richie quoted :  madonna
 is retarded .  now this cracks me up .",madonna,neg
"i upload a youtube video -- lady gaga
 bad romance 2ndsource mol .",lady gaga,pos
"madge 's row : madonna
 falls out with toyboy lover jesus luz over her marriage stance it seems jesus luz wasn't i . .",madonna,neu
"we all miss you sweetie . tell madonna
 to come back soon :-rrb- -rrb- -rrb- -rrb- -rrb- kisses and lots of love from portugal",madonna,neu
"i grew up as a democrat . thank god ! , i learned what was real . don't think i am completely biased . there are some good dem , but not obama
 .",obama,neg
"snedbrook asked : listening to esta es africa , i love shakira
 in spanish . ha . .",shakira,pos
"i want to get a mp3 player for chelsea . we had an ipod
 , but she had some difficulty figuring out how to use it . thinking about ...",ipod,neu
"so this is what happens when you let yourself be dead in every film .  nicolas cage
 millions in debt  :",nicolas cage,neu
"how ugly remote controller ... just amazing how they really think ui ... quick tour - google
 television .",google,neg
"feels bad for jimmy carter
 who actually deserved the peace prize ; what a shame to cheapen the honor . tcot",jimmy carter,pos
"xbox
 live : oabgo i7vo good is currently offline . last seen 1 hour ago playing xbox
 360 dashboard -lrb- xbox
 live nation -rrb-",xbox,neu
"technology news : nintendo wii
 2 with full-hd video - in 2010 : resource maxconsole released fresh details about . .",wii,neu
"you like britney spears
 ? i 'm ashamed !!!",britney spears,neg
"i hope i 'm 20 years old now ! so my parents will let me to watch justin bieber
 concert",justin bieber,pos
" redskins are first in history to play six straight winless teams . if it was any easier it 'd be lindsay lohan
 . ",lindsay lohan,neu
"london - hillary clinton
 said the international community would not wait indefinitely for iran",hillary clinton,neu
"then ill end up like lindsay lohan
 lol",lindsay lohan,neg
"just bought my all-time favorite britney spears
 song ,  lucky  on itunes since i 'm too lazy to look for the cd i know i have somewhere . .",britney spears,pos
"week in microsoft : windows 7
 sp1 and windows live 4.0 rumors -lrb- ars technica -rrb- : let 's look back at the week that w . .",windows 7,neu
"devinebanks3 is having a great game lakers
 vs . kings",lakers,neu
": been using windows 7
 about 3 times for less than 20 minutes , and i 've gotten 3 bsods ... windows7 fail",windows 7,neg
"jailbait beat lady gag , miley cyrus , taylor swift and britney spears
 4 best international pop artist 2009 los premios mtv latin america awards !",britney spears,pos
"obama
 is keeping his peace prize .",obama,neu
"emanuel ungaro and lindsay lohan
 : cut from the same cloth ? -lrb- women 's wear daily -rrb- - x.fr / ny9",lindsay lohan,neu
" she 's yodeling like she thinks she 's goddamn shakira
 or goddamn jewel . ",shakira,neg
"selena gomez
 = singer ✔ funny ✔ actress ✔ outgoing ✔ beautiful ✔ smart ✔ laugh ✔ smile ✔ style ✔ love towards her fans ✔ fans love her ✔",selena gomez,pos
"my plan on watching videos of the new super mario brothers . game for the wii
 has been spoiled by grad students with scholarship questions .",wii,neu
"already have an 8gb in the 9000 but it is easier to plug in the ipod
 to my car .",ipod,neu
"john mccain
 and joe lieberman and grahnesty are all fake republican/conservatives . they are as progressive left as they can be",john mccain,neg
"lady gaga
 yspeak in your own way . be my friend please !",lady gaga,pos
"new : lego heartbreak t-shirt + britney spears
 gives fans ' 3 ' + balloon boy and more !",britney spears,neu
"musicmonday -lrb- i can't get no -rrb- satisfaction - britney spears
 ... ha  are you lesbian ?   huh ?  ahahahahhaha",britney spears,neu
"ashleeee99 harry potter
 sucks . so do these sam adams . i like the pbr better",harry potter,neg
"taylor swift
 made me fall in love with country music < 3",taylor swift,pos
"on the nook they can share a book for 14 days . not sure about the kindle
 .",kindle,neu
"teeehee perez hilton
 told joe to drop it like its hot ; -rrb-",perez hilton,neu
"my pod touch is too loud as an alarm ... damn it steve jobs
 ! ...",steve jobs,neg
"bunch song of lady gaga
 , like it so much ! : *",lady gaga,pos
"g.a. henty novels are great for children 's read alouds -lrb- ages 10 + -rrb- . i 'm holding out for the ipad
 , however -lrb- don't favor kindle -rrb- .",ipad,neu
"fun at target : well i finally dragged myself out to target today to get in on the wii
 deal . i ended up wi . .",wii,neu
" lindsay lohan
 looking haggard in paris - awful plastic surgery ... : awful plastic surgery , trout pout , ugly b . .",lindsay lohan,neg
"i think the britney spears
 ' song ' 3 ' is awesome ! i could listen to it over and over again . well , back to work ! enjoy the afternoon !",britney spears,pos
"what happened to k-fed ? he gains soooo much weight after his divorce with britney spears
 !",britney spears,neu
"lmao epic fail , zee . epic fail . xd hahahaha , i love people like that . like lindsay lohan
 or britney spears . xd",lindsay lohan,neu
"i fucking hate motherfucking electronics !!! now i 'm all fucking hot and sweaty and dusty trying to fix my fucking xbox
 and nothing worked !!",xbox,neg
"just loved nicki minaj
 feat . drake - moment 4 life -lrb- dj kue remix -rrb- - dirty . on hypem",nicki minaj,pos
"barack obama
 seems like he 'd be a cool guy to hang out with . i really should get a hawaiian friend .",barack obama,neu
"my big girl wants to read harry potter
 . seems like just yesterday we were reading madeline . is she ready ? she sobbed over kung fu panda .",harry potter,neu
"i can not believe the level of access the nba gave the khloe and lamar show . that ryan seacrest
 and kris jenner are forces to be reckoned with",ryan seacrest,neg
"want to be updated by the global hunger index ? . -lrb- love the use of google
 plat to make this data readable -rrb-",google,pos
"but the ultimate argument against the  sanctity of marriage  loons is britney spears
 '  just for fun  marriage .",britney spears,neu
" sonny helped me grow , and become more aware of the media , and paparazzi , and the famous life . it makes me think twice .  - demi lovato
 .",demi lovato,neu
"rebecca thinks khloe kardashian
 isn't a real kardashian . she thinks bruce is her dad because she doesn't look like the other two . .",khloe kardashian,neg
"the awesomeness of the best google
 custom logos . vía abduzeedo",google,pos
