text,predictions
service has always been friendly and efficient.,"[('service', None), ('quality', None)]"
went there and had a combination of different seafood dishes and appetizers.,"[('seafood dishes', None), ('appetizers', None)]"
its a great place for a casual date or to entertain clients for lunch.,"[('lunch', None), ('place', None)]"
all we received was an apology as we left to see our show without dinner.,"[('dinner', None), ('show', None)]"
the table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived.,"[('table', None), ('bottle of wine', None)]"
prices are very good.,"[('prices', None)]"
"we could not catch our waiter's eye, and he ignored us.","[('waiter', None), ('eye', None)]"
fantastic place.,"[('place', None)]"
plain and simple it's bad thai food.,"[('thai food', None), ('thai food', None)]"
definitely not a restaurant to skip!,"[('restaurant', None), ('wait', None)]"
they refuse to seat parties of 3 or more on weekends.,"[('parties', None), ('seat', None)]"
usually 3 vs. 4 items per dish.,"[('dish', None), ('items', None)]"
"while certain staples are excellent (the burger, some of the pastas), the food is not really the point.","[('staples', None), ('pastas', None), ('food', None)]"
"the dim sum was so-so, but not spectacular.","[('dim sum', None)]"
the food was so-so.,"[('food', None)]"
"the waitress, seems to be more concerned of looking good than actually waitressing.","[('waitress', None), ('waitressing', None)]"
"the place is larger than most and features adequate seating unlike most joints, and has a bar which deserves a mention.","[('bar', None), ('place', None)]"
what a ripoff!,"[('ripoff', None), ('food', None)]"
threw my fiance's surprise 30th birthday dinner here couldn't be happier.,"[('dinner', None), ('surprise', None)]"
you can do it here.,[]
food-awesome.,"[('food', None), ('food', None)]"
"good music, great food, speedy service affordable prices.","[('prices', None), ('service', None), ('food', None)]"
"there was a small wait, but shorter than i expected.","[('wait', None), ('food', None)]"
the lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,"[('lobster sandwich', None), ('price', None)]"
"may, the owner always has a smile on her and will warmly greet you.","[('owner', None), ('smile', None)]"
i've lived in ny for 5 years and this place has it all.,"[('place', None), ('place', None)]"
i just read mocaramel's review and felt compelled to respond.,"[('mocaramel', None), ('review', None)]"
the sides were ok and incredibly salty.,"[('sides', None), ('salty', None)]"
it hits the spot every time,"[('spot', None), ('food', None)]"
"for some reason, all the seafood on the menu was unavailable except for the salmon.","[('menu', None), ('salmon', None)]"
"not a large place, but it's cute and cozy.","[('place', None), ('place', None)]"
don't be fooled by crowds of people.,"[('crowds', None), ('people', None)]"
and there's no way out.,"[('way', None), ('out', None)]"
"the beverages were excellent, and the dessert was good.","[('dessert', None), ('beverages', None)]"
the hostess and the waitress were incredibly rude and did everything they could to rush us out.,"[('hostess', None), ('waitress', None)]"
"next time, we wouldn't dare ordering anything else other than some simple asian appetizers and drinks.","[('drinks', None), ('appetizers', None)]"
"please if your thinking about it go, and stay the wait you won't be disappointed.","[('wait', None), ('food', None)]"
i must say the view of nyc is so beautiful!,"[('view', None), ('nyc', None)]"
"if you'd like to have a nice light meal with an asian accent, long tan is a good place on the slope.","[('meal', None), ('asian accent', None)]"
"when going out for a nice dinner, i like a nice ambiance as well as very good food.","[('dinner', None), ('ambiance', None), ('food', None)]"
"for all you lazy folks that don't want to come to alphabet city, i say, good - stay out.","[('alphabet', None), ('folks', None)]"
"otherwise, this place has great service and prices and a nice friendly atmosphere.","[('prices', None), ('service', None), ('atmosphere', None)]"
highly recommend this as great value for excellent sushi and service.,"[('service', None), ('value', None), ('sushi', None)]"
this place would be so much better served by being run by a group that actually understands customer service.,"[('service', None), ('served', None)]"
a++ the service was good to excellent along with the attitude.,"[('service', None), ('attitude', None)]"
"this is my fourth try over a two year period, and i'm done.","[('period', None), ('food', None)]"
the food is awesome - definitely try the striped bass.,"[('food', None), ('striped bass', None)]"
"the music does get a little loud at times, but it just made me want to lean closer to my beautiful wife, and as i did, i got a whiff of corriander.","[('music', None), ('corriander', None)]"
black white shakes came out good also.,"[('black white shakes', None), ('black', None)]"
it's simply the best meal in nyc.,"[('meal', None), ('nyc', None)]"
probably would not go again...,"[('probably', None), ('go', None)]"
after passing by this restaurant for sometime i finally decided to go in and have dinner.,"[('dinner', None), ('restaurant', None)]"
"the seating was if they were trying to get the maximum amount of people into the restaurant, so be nice to your neighbor when you dine here.","[('seating', None), ('dine', None)]"
i ordered the chu chu curry and my friend ordered the pad thai chicken.,"[('pad thai chicken', None), ('chu chu curry', None)]"
we go on mondays for the prix fixe and our experience with the food has been comparable to blue ribbon.,"[('prix fixe', None), ('food', None)]"
tuk tuk is my second favorite neighborhood thai place (the first being joya).,"[('thai place', None), ('tuk tuk', None)]"
"however, they've got the most amazing pastrami and the soups hit the spot.","[('soups', None), ('pastrami', None)]"
great bagels made the old-fashioned way.,"[('bagels', None), ('way', None)]"
"this is some really good, inexpensive sushi.","[('sushi', None), ('price', None)]"
"my personal favorite is an everything bagel with lox spread, but all the bagles are unbeliavably good.","[('bagles', None), ('bagel with lox spread', None)]"
"i wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.","[('quality', None), ('food', None)]"
for the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being seated.,"[('seated', None), ('lobby area', None)]"
the pizza is delicious and the proprietor is one of the nicest in nyc.,"[('pizza', None), ('proprietor', None)]"
"also good for client lunch meetings, esp.","[('lunch', None), ('client lunch', None)]"
for $600 ( the most we have ever paid) not even waving a magic wand will ever get us back for a repeat performance.,"[('performance', None), ('wand', None)]"
"the decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.","[('prices', None), ('decor', None), ('food', None)]"
the waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal.,"[('meal', None), ('waitstaff', None)]"
the setting is casual and romantic.,"[('setting', None), ('setting', None)]"
it was horrible.,[]
"terrible, terrible management - deserves to be shut-down.","[('management', None), ('shut-down', None)]"
"great friendly service, fast seating, fast delivery, excellent sushi.","[('seating', None), ('service', None), ('sushi', None)]"
the desserts are more appealing then stuffy overpriced french restaurants.,"[('desserts', None), ('french restaurants', None)]"
"the italian food has flavor (that can be sort of surprising on the ues), and the service turns from a nightmare to attentive,they sort of remind me of the ny yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner...","[('service', None), ('italian food', None)]"
"as many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.","[('order', None), ('lunch', None)]"
"i found the food to be outstanding, particulary the salmon dish i had.","[('salmon dish', None), ('food', None)]"
mizu is home to creative and unique rolls not to found anywhere else.,"[('rolls', None), ('mizu', None)]"
"the new york times has reviewed this place three times already, you know it's going to be good.","[('place', None), ('new york times', None)]"
baluchi's has solid food and a nice decor at reasonable prices.,"[('prices', None), ('decor', None), ('food', None)]"
"emilio, the owner, is often sitting in the front table greeting guests as they come and go.","[('front table', None), ('owner', None)]"
i have been to spice three times- twice during lunch and once at dinner.,"[('dinner', None), ('lunch', None)]"
"moules were excellent, lobster ravioli was very salty!","[('lobster ravioli', None), ('moules', None)]"
i came to this restaurant expecting to be surprised but left bored and overcharged.,"[('i', None), ('restaurant', None)]"
"a cheap eat for nyc, but not for dosa.","[('eat', None), ('dosa', None)]"
the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,"[('waiters', None), ('atmosphere', None)]"
"the seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","[('menu', None), ('wine list', None), ('seafood', None)]"
i don't usually order wine with indian so i can't comment on their wine list or their wines.,"[('wines', None), ('wine list', None)]"
pastrami or corned beef are juicy and piled high (ask for extra rye bread).,"[('corned beef', None), ('pastrami', None), ('bread', None)]"
"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks).","[('dinner drinks', None), ('bottle of wine', None)]"
"really though, where's the seasoning?","[('seasoning', None), ('place', None)]"
"the food was just ok, at least for what food was available.","[('food', None), ('available', None)]"
"by dinner time, they turn it around and mount a huge comeback!!","[('dinner', None), ('comeback', None)]"
the waitress was very patient with us and the food is phenomenal!,"[('food', None), ('waitress', None)]"
"the ambience was nice, but service wasn't so great.","[('service', None), ('ambience', None)]"
"solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back.","[('staff', None), ('menu', None), ('owners', None), ('wine list', None)]"
the people that work there are always so friendly you forget you are in new york sometimes.,"[('people', None), ('new york', None)]"
"we didn't even see a menu, as our waiter described both the specials and the main dishes.","[('waiter', None), ('menu', None), ('specials', None)]"
the location and ambience is ok but the food is what makes up for it.,"[('ambience', None), ('food', None)]"
"otherwise, good stuff for late nite eats.","[('stuff', None), ('nite', None)]"
"the dinner was ok, nothing i would have again.","[('dinner', None), ('i', None)]"
it is thick and slightly soggy.,[]
its not the same if you have to sit inside.,"[('inside', None)]"
i love and i know gourmet food by excellence!,"[('gourmet food', None), ('excellence', None)]"
"i plan to come here again and look forward to trying their assortment of bruschetta, panini's.....","[('panini', None), ('assortment of bruschetta', None)]"
great people watching as others do the same to you.,"[('people', None), ('waiting', None)]"
maybe it was just an unintentional mistake but i've experienced the same with other restaurants so i don't appreciate such practice.,"[('practice', None), ('restaurants', None)]"
"two people in our party felt like something else, and volare immediately obliged with two great dishes that were not in their regular menu.","[('menu', None), ('dishes', None)]"
he offers subpar service and has no personality.,"[('service', None), ('personality', None)]"
"the waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.","[('condensed milk', None), ('fried mini buns with the condensed milk', None), ('waitress', None)]"
i'm going back.,"[(""i'm back"", None)]"
diner food at bistro prices is a bummer....,"[('prices', None), ('diner food', None)]"
my friends and i have been going here regularly for two years.,[]
"wow! how have i missed this one ,tried long tan last week for the first time and now know what the ny times and many more in the neighborhood already knew.","[('neighborhood', None), ('tan', None)]"
"go there on an empty stomach and leave feeling like a baby veal calf(ok bad joke), but you will see.","[('veal calf', None), ('veal calf', None)]"
"while we thoroughly enjoyed the food, it was annoying to scream across the table for conversation.","[('table', None), ('food', None)]"
me and my girls will definitely go back.,"[('girls', None), ('go back', None)]"
"the first time the sushi was outstanding, the second time it was a little bland.","[('sushi', None), ('first', None)]"
the portions are large and the servers always surprise us with a different starter.,"[('portions', None), ('servers', None)]"
"delicious bagels, especially when right out of the oven.","[('bagels', None), ('oven', None)]"
ive passed by the spot tons of times always wanting to go in.,"[('spot', None), ('waiting', None)]"
all the food was hot tasty.,"[('food', None), ('flavor', None)]"
have been several times and it never dissapoints.,[]
this is one great place to eat pizza more out but not a good place for take-out pizza.,"[('take-out pizza', None), ('place', None)]"
our server was very helpful and friendly.,"[('server', None), ('food', None)]"
try green curry with vegetables.,"[('vegetables', None), ('green curry', None)]"
would recommend this place as a good date spot if you don't want to drop a ton of cash.,"[('spot', None), ('cash', None)]"
while i'm not sure that this happens all the time-this is the kind of treatment that buys repeat business!,"[('treatment', None), ('business', None)]"
this place was not all that!,"[('place', None), ('place', None)]"
"first of all, this place is *not* romantic, as claimed by citysearch's editorial review.","[('place', None), ('review', None)]"
"the second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.","[('dining', None), ('door', None)]"
much more reasonably priced too!,"[('priced', None)]"
"if you venture off the island of manhattan and can't seem to find a great italian restaurant, drive to corona.","[('italian restaurant', None), ('manhattan', None)]"
"the food was not very tasty, the portioins were tiny even for such a high quality restaurant.","[('portioins', None), ('food', None)]"
my friend from milan and myself were pleasantly surprised when we arrived and everyone spoke italian.,"[('milan', None), ('italian', None)]"
others have to go to other restaurants and feel sad until they're eaten.,"[('food', None), ('people', None)]"
why make a reservation if you aren't going to keep it?,"[('reservation', None), ('owner', None)]"
"the pad thai is excellent here, as well.","[('pad thai', None), ('food', None)]"
big and gawky on the outside.,"[('outside', None), ('gawky', None)]"
i have been to mary's many times and i like it.,"[('mary', None), ('place', None)]"
"searching to get out from the cold, freezing weather, we went into what we thought was a deli.","[('deli', None), ('weather', None)]"
i do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.,"[('lunch specials', None), ('chinese restaurant', None)]"
highly recommended!!!!!,"[('recommended', None), ('ice', None)]"
this is the best thing in soho.,"[('soho', None), ('thing', None)]"
went here last night and had a pleasant experience.,"[('experience', None), ('food', None)]"
"we parked on the block of nina's the place looked nice, with people obviously enjoying their pizzas.","[('pizzas', None), ('place', None)]"
i came here with my boyfriend for our anniversary because it was highly recommended to him by a friend.,"[('anniversary', None), ('person', None)]"
"for $760 for 2 people, it's a once in a lifetime experience.","[('experience', None), ('people', None)]"
"the food is o.k., but not any better than what you get at a good neighborhood restaurant.","[('food', None), ('neighborhood', None)]"
we had the pot-stickers which were great and a tempura dish that was great.,"[('pot-stickers', None), ('tempura dish', None)]"
i think the stuff was better than disney.,"[('stuff', None), ('disney', None)]"
"after reading the good reviews of this restaurant, i decided to give it a try with two friends.","[('reviews', None), ('restaurant', None)]"
"while the $20 entree range is not overly expensive, in new york city, there is definitely better food in that range, and so sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which i will return.","[('entree', None), ('atmosphere', None), ('food', None)]"
"orsay, is without a doubt one of the best values for authentic french food in nyc.","[('french food', None), ('orsay', None)]"
i had been searching really hard for a restaurant in new york where i could really feel unwanted and ignored and i finally found it!,"[('new york', None), ('restaurant', None)]"
it's definately not a place to go if you want to impress someone.,"[('place', None), ('person', None)]"
"well, their deliveries take for ever and the food is usually cold.","[('delivery', None), ('food', None)]"
the staff is no nonsense.,"[('staff', None), ('nonsense', None)]"
chinese desserts are known for healthful benefits in addition to the sweetness.,"[('chinese desserts', None), ('sweeteners', None)]"
wonderful at holiday time.,"[('time', None), ('holiday', None)]"
and really large portions.,"[('portions', None)]"
the place is a lot of fun.,"[('place', None), ('fun', None)]"
this is a great thai restaurant with a very friendly staff.,"[('staff', None), ('thai restaurant', None)]"
"have eaten at ginger house several times, and it's always good.","[('ginger house', None), ('food', None)]"
i ordered the smoked salmon and roe appetizer and it was off flavor.,"[('flavor', None), ('smoked salmon and roe appetizer', None)]"
"we went here for lunch a couple of weeks ago on a saturday, and i was thoroughly impressed with the food.","[('lunch', None), ('food', None)]"
"i recommend the garlic shrimp, okra (bindi), and anything with lamb.","[('lamb', None), ('garlic shrimp', None)]"
"as a japanese native, i've lived in the tristate area for over 8 years, but i was just so amazed at this place.","[('area', None), ('japanese', None)]"
"to give you an idea of how good we thought it was, we ended up going to ping's three weekends in a row!!!","[('row', None), ('ping', None)]"
"as we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.","[('waiter', None), ('door', None)]"
"the menu was impressive with selections ranging from a burger, to steak, to escargot.","[('menu', None), ('steak', None), ('escargot', None)]"
"in fact, two people could really share one plate.","[('plate', None), ('people', None)]"
the food is great and authentic.,"[('food', None), ('authentic', None)]"
this was a repeat visit and we'll definitely be back again.,"[('visit', None), ('a', None)]"
during happy hour!,"[('hour', None), ('food', None)]"
good for casual dinner with jeans and sneakers.,"[('dinner', None), ('jeans', None)]"
love yuka.,"[('yuka', None), ('yuka', None)]"
"anyway, the food is good, the price is right and they have a decent wine list.","[('wine list', None), ('price', None), ('food', None)]"
"go, go, hurry, before everyone finds out about it.","[('hurry', None), ('people', None)]"
prices are higher to dine in and their chicken tikka marsala is quite good.,"[('prices', None), ('dine', None), ('chicken tikka marsala', None)]"
i am bringing my whole family back next time.,"[('family', None), ('time', None)]"
this place has many different styles of pizza and they are all amazing.,"[('pizza', None), ('style', None)]"
the photos of the restaurant in its web site are way better than the real look.,"[('look', None), ('photos', None)]"
the food was lousy - too sweet or too salty and the portions tiny.,"[('portions', None), ('food', None)]"
but the coconut rice was good.,"[('coconut rice', None)]"
it took them 25 minutes to bring our appetizer.,"[('appetizer', None), ('time', None)]"
a guaranteeed delight!,"[('delight', None), ('assuranceed', None)]"
i have been coming to this neighborhood spot for years.,"[('spot', None), ('neighborhood', None)]"
overall i would recommend it and go back again.,"[('i', None), ('place', None)]"
the food was great.,"[('food', None), ('atmosphere', None)]"
pair you food with the excellent beers on tap or their well priced wine list.,"[('priced wine list', None), ('food', None)]"
if you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,"[('music', None), ('bottle', None)]"
all of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.,"[('food', None), ('co-workers', None)]"
"anyway, this is the last time i cross the williamsburg.","[('wait', None), ('williamsburg', None)]"
metrazur has a beautiful spot overlooking the main terminal.,"[('spot', None), ('main terminal', None)]"
friendly staff that actually lets you enjoy your meal and the company you're with.,"[('meal', None), ('staff', None)]"
"when i'm feeling stressed by the noise and congestion around my office, i head for cafe st. bart's.","[('noise', None), ('cafe', None)]"
guess the 555soul ads didn't launch her big modeling career.,"[('555soul', None), ('modeling', None)]"
the restaurant is rather small but we were lucky to get a table quickly.,"[('table', None), ('restaurant', None)]"
"besides, we were on vacation!","[('besides', None), ('vacation', None)]"
i love this cozy around the way rest.,"[('rest', None)]"
"quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.","[('quality of food', None), ('pork', None), ('fish', None), ('vegetables', None), ('price', None)]"
don't leave without trying one night in tokyo.,"[('tokyo', None), ('waiting', None)]"
save yourself the time and trouble and skip this one!,"[('time', None), ('time', None)]"
this is my favorite italian restaurant in all of new york city.,"[('italian restaurant', None), ('new york', None)]"
"the place is a little tight and on a cold day, the seating by the entranceway can be pretty drafty.","[('seating', None), ('place', None)]"
the appetizing is excellent - just as good as zabars barney greengrass at a reasonable price (if bought by the pound).,"[('price', None), ('appetizing', None)]"
"but, they were too big for the bun.","[('bun', None), ('size', None)]"
"the food is fresh, delicious, and reasonably priced.","[('priced', None), ('food', None)]"
raga stands out with an interesting fusion of french and indian cooking.,"[('french', None), ('indian cooking', None), ('raga', None)]"
"a few tips: skip the turnip cake, roast pork buns and egg custards.","[('roast pork buns', None), ('egg custards', None), ('turnip cake', None)]"
the bagels are fabulous.,"[('bagels', None), ('food', None)]"
"oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available.","[('seats', None), ('garden', None)]"
although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,"[('service', None), ('water', None)]"
"the food was very good, a great deal, and the place its self was great.","[('place', None), ('food', None)]"
the food options rule.,"[('food options', None), ('rule', None)]"
a great choice at any cost and a great deal.,"[('cost', None), ('choice', None)]"
"anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.","[('place', None), ('tasteless', None)]"
"we ate here in march, 2006 and ordered the pre-theatre 3-course dinner with wine flight.","[('pre-theatre', None), ('wine flight', None)]"
definately check it out!!!,"[('check', None)]"
"probably much busier for lunch, it's seldom crowded for dinner (too close to downtown).","[('dinner', None), ('lunch', None)]"
"their calzones are horrific, bad, vomit-inducing, yuck.","[('calzones', None), ('yuck', None)]"
it takes forever to get a drink and they almost always forget to bring something (although they dont forget to charge you for it.,"[('drink', None), ('charge', None)]"
the place itself is beautiful the bar scene seems to be happening.,"[('bar scene', None), ('place', None)]"
"saturday, nov. 6th i had a group from work come in with about 35 people and the staff was amazing to accomodate us.","[('staff', None), ('saturday', None), ('employees', None)]"
"good spreads, great beverage selections and bagels really tasty.","[('spreads', None), ('beverage selections', None), ('bagels', None)]"
"first, the waiter who served us neglected to fill us in on the specials, which i would have chosen had i known about them.","[('waiter', None), ('specials', None)]"
we will be back.,"[('back', None), ('food', None)]"
"also, top the meal with a delicious and perfect slice of tiramisu.","[('meal', None), ('slice of tiramisu', None)]"
it seems like this is a place the locals like and the people working here liked it too.,"[('people', None), ('place', None)]"
check out the secret back room.,"[('secret back room', None), ('check', None)]"
"it's also attached to angel's share, which is a cool, more romantic bar...","[('bar', None), ('angel', None)]"
"authentic food and they have real service, not just the rush you get sometimes when they try to push you out the door.","[('service', None), ('food', None)]"
stick to the gulab jamun.,"[('gulab jamun', None)]"
"i am amazed by the poor reviews- i find this place to be standout italian in an area flooded with italian- great prices, great atmosphere, good service and a wonderful wine list.","[('prices', None), ('service', None), ('wine list', None)]"
i was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,"[('diner', None), ('table', None), ('wait staff', None)]"
with the theater 2 blocks away we had a delicious meal in a beautiful room.,"[('meal', None), ('room', None)]"
"i was a little leary about mary's at first - it's small, crowded and you usually have to wait on line - but i'm glad i finally tried it.","[('wait', None), ('line', None)]"
we were not dissappointed in the least bit by this little gem.,"[('gem', None)]"
also very inexpensive.,[]
"we've only eaten in the restaurant once, but we have ordered many times for dinner.","[('dinner', None), ('restaurant', None)]"
i got enough reasons to keep coming back!!!,"[('reasons', None)]"
by far this is the only chinese desserts place i know in ny or anywhere close in the northeastern america that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,"[('desserts with frog jelly', None), ('chinese desserts place', None)]"
the food is great and reasonably priced.,"[('priced', None), ('food', None)]"
the characters really make for an enjoyable experience.,"[('characters', None), ('experience', None)]"
i would definitely recommend sea if you like thai cuisine!,"[('thai cuisine', None), ('sea', None)]"
"over the years the host, vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.","[('host', None), ('crew', None)]"
"the restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic taiwanese.","[('tables', None), ('taiwanese', None)]"
"my husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.","[('portion', None), ('french fries', None)]"
you cannot go wrong with this place.,"[('place', None), ('place', None)]"
"it is the type of place to run into old friends and have a late, raucus dinner.","[('dinner', None), ('place', None)]"
"the food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.","[('menu-fare', None), ('dishes', None), ('food', None)]"
prices are in line.,"[('prices', None), ('line', None)]"
"the combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in ny.","[('pizza', None), ('dough', None), ('basil', None), ('mozz cheese', None), ('dough', None)]"
the food is prepared quickly and efficiently.,"[('food', None), ('prepared', None)]"
and for this i had to shell out a small fortune?,"[('fortune', None), ('money', None)]"
"for all of you new to indian food, try the paneer roll, it is a piece of heaven.","[('paneer roll', None), ('indian food', None)]"
the food looked very appetizing and delicious since it came on a variety of fancy plates.,"[('plates', None), ('food', None)]"
both the fresh mozzerella slices and the plain cheese slice are phenomenal.,"[('plain cheese slice', None), ('mozzerella slices', None)]"
i have tried literally every restaurant on curry row.,"[('curry row', None), ('restaurant', None)]"
"the food is terrible and overall, i would have to say avoid at all costs.","[('food', None), ('avoiding', None)]"
"i've been to this monster sushi twice, the 46th st once, the 23rd st one a number of times.","[('monster sushi', None), ('23rd', None)]"
"unfortunately, the food was not something to get worked up about.","[('food', None), ('work', None)]"
"it's constantly open, catering to the pakistani cabbies lined up on crosby st., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh).","[('cabbies', None), ('food', None)]"
i had filet mignon with garlic mash.,"[('filet mignon with garlic mash', None), ('filet mignon with garlic', None)]"
"i went at 6:00 pm specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.","[('steak frites', None), ('pre-theater menu', None), ('creme brulee', None)]"
"the waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.","[('quarters', None), ('waitstaff', None)]"
go inside and you won't want to leave.,"[('inside', None)]"
i loving bringing friends here - and i do so every chance i get.,"[('bringing', None), ('friends', None)]"
"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the peter's favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.","[('peter', None), ('margarite pizza with cold prosciutto', None), ('salad', None), ('bread', None)]"
"yes, the prices are high, but i felt it was worth it.","[('prices', None), ('value', None)]"
"the large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.","[('paninis', None), ('selection of bruschettas', None), ('palate', None)]"
"have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.","[('waiters', None), ('diners', None)]"
"while this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely indian without being heavy or same old restaurant burn-outs.","[('chef', None), ('dishes', None)]"
the owner truly caters to all your needs.,"[('owner', None), ('needs', None)]"
he takes real pride in his food and his business.,"[('business', None), ('food', None)]"
every time in new york i make it a point to visit restaurant saul on smith street.,"[('smith', None), ('restaurant', None)]"
my boyfriend and i went there to celebrate my birthday the other night and all i can say is that it was magnificent.,"[('birthday', None), ('place', None)]"
"so if you want a nice, enjoyable meal at montparnasse, go early for the pre-theater prix-fixe.","[('meal', None), ('prix-fixe', None)]"
"over the years, it has always provided a pleasurable dining experience with quality food and wine.","[('dining', None), ('wine', None), ('food', None)]"
i would go back tho.,"[('tho', None), ('back', None)]"
"the photobook menu was a cute touch, certainly helped my group and i pick the fried chicken, pork chop, and noodle dishes that we all ordered.","[('fried chicken', None), ('pork chop', None), ('noodle dishes', None)]"
too large for just two people but nothing was left.,"[('people', None), ('size', None)]"
i cannot imagine better indian food in all of the city.,"[('indian food', None), ('city', None)]"
great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,"[('privacy', None), ('corner booth table', None), ('place', None)]"
a pleasant surprise.,"[('surprise', None), ('food', None)]"
i asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,"[('manager', None), ('open faced cheese sandwich', None)]"
if you don't mind all that noise then go to the chart house.,"[('noise', None), ('chart house', None)]"
we got most of it back at home with us.,"[('home', None), ('item', None)]"
get there before 7pm.,"[('7pm', None), ('place', None)]"
very good breads as well.,"[('breads', None), ('breads', None)]"
"if this happens, just ask for real naan.","[('naan', None), ('naan', None)]"
we were fans of the half-price saturday night option until some inedible squid during a recent visit.,"[('saturday night', None), ('option', None)]"
"so, if yo really don't care who is sittingnext to you, which is about 2 inches away, i would say try it.","[('i', None), ('sittingnext', None)]"
"pizza is terrific, as is homemade pasta.","[('pizza', None), ('pasta', None)]"
definitely a neighborhood favorite.,"[('neighborhood', None), ('ice', None)]"
this is a wonderful place on all stand points especially value ofr money.,"[('place', None), ('money', None)]"
my first encounter happened one friday evening with a friend.,"[('dinner', None), ('s', None), ('mate', None)]"
example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,"[('mushrooms', None), ('soup', None)]"
"service is not exactly five star, but thats not really a big deal.","[('service', None), ('price', None)]"
there are other people waiting!,"[('waiting', None), ('people', None)]"
"from beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.","[('scallops', None), ('chocolate souffle with rasberry mint sorbet', None), ('appetizers', None)]"
ou must try this restaurant.,"[('restaurant', None), ('wait', None)]"
"we left, never to return.",[]
consistently good japanese tapas.,"[('japanese tapas', None), ('tapas', None)]"
no apologies during restaurant week.,"[('restaurant', None), ('apologies', None)]"
"my goodness, everything from the fish to the rice to the seaweed was absolutely amazing.","[('rice', None), ('seaweed', None), ('fish', None)]"
"this place started off a little iffy, but is now one of my favorite indian restaurants in nyc (and i'm indian, so i should know).","[('place', None), ('indian restaurants', None)]"
they also do a great job for restaurant week.,"[('restaurant', None), ('day', None)]"
i went to this restaurant with a woman that i met recently.,"[('woman', None), ('restaurant', None)]"
"the dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest i've ever had).","[('lamb sausages', None), ('pistachio ice cream', None), ('dishes', None), ('whole shrimp', None)]"
this is where the aforementioned line was.,"[('line', None), ('aforementioned', None)]"
the food is reliable and the price is moderate.,"[('price', None), ('food', None)]"
"aside from the bearded, courdoroy blazer professor type with the nyu student he's sleeping with that week, you see a strange mix of hipsters, frat boys, will smith types who need to be told they are black, bitter cougars who cant understand why they arent married yet....","[('mix', None), ('cougars', None), ('mix', None)]"
"while the ambiance and atmosphere were great, the food and service could have been a lot better.","[('service', None), ('atmosphere', None), ('food', None)]"
we always go there on the weekends and leave extremely full and satisfied.,"[('weekend', None), ('food', None)]"
